date,hour,smp_krw_per_kwh
2024-01-01,1,94.09
2024-01-01,2,87.91
2024-01-01,3,78.86
2024-01-01,4,78.86
2024-01-01,5,78.86
2024-01-01,6,78.86
2024-01-01,7,78.86
2024-01-01,8,87.91
2024-01-01,9,89.05
2024-01-01,10,89.13
2024-01-01,11,89.09
2024-01-01,12,89.01
2024-01-01,13,85.66
2024-01-01,14,85.44
2024-01-01,15,85.46
2024-01-01,16,88.85
2024-01-01,17,115.86
2024-01-01,18,120.39
2024-01-01,19,118.15
2024-01-01,20,94.09
2024-01-01,21,94.09
2024-01-01,22,88.97
2024-01-01,23,94.07
2024-01-02,1,78.55
2024-01-02,2,76.47
2024-01-02,3,76.47
2024-01-02,4,76.47
2024-01-02,5,76.47
2024-01-02,6,76.47
2024-01-02,7,76.47
2024-01-02,8,121.71
2024-01-02,9,155.46
2024-01-02,10,194.8
2024-01-02,11,197.69
2024-01-02,12,178.03
2024-01-02,13,166.12
2024-01-02,14,175.04
2024-01-02,15,175.04
2024-01-02,16,175.04
2024-01-02,17,166.12
2024-01-02,18,166.12
2024-01-02,19,166.12
2024-01-02,20,166.12
2024-01-02,21,154.25
2024-01-02,22,140.95
2024-01-02,23,137.35
2024-01-02,24,132.79
2024-01-03,1,92.52
2024-01-03,2,92.5
2024-01-03,3,92.5
2024-01-03,4,92.5
2024-01-03,5,92.5
2024-01-03,6,92.5
2024-01-03,7,92.52
2024-01-03,8,143.0
2024-01-03,9,167.4
2024-01-03,10,227.73
2024-01-03,11,175.28
2024-01-03,12,167.4
2024-01-03,13,167.26
2024-01-03,14,167.26
2024-01-03,15,167.26
2024-01-03,16,167.27
2024-01-03,17,162.1
2024-01-03,18,160.83
2024-01-03,19,159.63
2024-01-03,20,159.13
2024-01-03,21,158.5
2024-01-03,22,141.44
2024-01-03,23,121.7
2024-01-03,24,141.73
2024-01-04,1,121.71
2024-01-04,2,87.64
2024-01-04,3,81.58
2024-01-04,4,76.92
2024-01-04,5,76.92
2024-01-04,6,80.56
2024-01-04,7,107.23
2024-01-04,8,121.74
2024-01-04,9,167.4
2024-01-04,10,201.5
2024-01-04,11,188.28
2024-01-04,12,168.61
2024-01-04,13,145.58
2024-01-04,14,165.52
2024-01-04,15,164.75
2024-01-04,16,164.84
2024-01-04,17,143.67
2024-01-04,18,143.86
2024-01-04,19,143.96
2024-01-04,20,144.16
2024-01-04,21,139.23
2024-01-04,22,133.77
2024-01-04,23,133.79
2024-01-04,24,133.79
2024-01-05,1,107.46
2024-01-05,2,83.79
2024-01-05,3,83.79
2024-01-05,4,83.79
2024-01-05,5,83.79
2024-01-05,6,83.79
2024-01-05,7,87.05
2024-01-05,8,142.51
2024-01-05,9,171.78
2024-01-05,10,195.14
2024-01-05,11,171.78
2024-01-05,12,167.75
2024-01-05,13,143.27
2024-01-05,14,144.34
2024-01-05,15,159.16
2024-01-05,16,174.09
2024-01-05,17,164.8
2024-01-05,18,161.0
2024-01-05,19,159.16
2024-01-05,20,159.16
2024-01-05,21,159.16
2024-01-05,22,137.48
2024-01-05,23,110.76
2024-01-05,24,137.54
2024-01-06,1,88.92
